AAM,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,166,170
I. Tiền và các khoản tương đương tiền,,,63,67
II. Đầu tư tài chính ngắn hạn,,,0,15
III. Các khoản phải thu ngắn hạn,,,9,6
IV. Hàng tồn kho,,,89,76
V. Tài sản ngắn hạn khác,,,5,5
B. TÀI SẢN DÀI HẠN,,,37,36
I. Các khoản phải thu dài hạn,,,,
II. Tài sản cố định,,,22,21
III. Bất động sản đầu tư,,,,
IV. Tài sản dở dang dài hạn,,,,
V. Đầu tư tài chính dài hạn,,,15,15
VI. Tài sản dài hạn khác,,,0,0
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,202,206
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,6,8
I. Nợ ngắn hạn,,,5,7
II. Nợ dài hạn,,,1,1
B. VỐN CHỦ SỞ HỮU,,,196,198
I. Vốn chủ sở hữu,,,196,198
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,202,206
