AAT,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,435,355
I. Tiền và các khoản tương đương tiền,,,11,17
II. Đầu tư tài chính ngắn hạn,,,27,26
III. Các khoản phải thu ngắn hạn,,,375,299
IV. Hàng tồn kho,,,13,6
V. Tài sản ngắn hạn khác,,,8,8
B. TÀI SẢN DÀI HẠN,,,887,1010
I. Các khoản phải thu dài hạn,,,2,91
II. Tài sản cố định,,,294,76
III. Bất động sản đầu tư,,,296,589
IV. Tài sản dở dang dài hạn,,,167,116
V. Đầu tư tài chính dài hạn,,,,
VI. Tài sản dài hạn khác,,,128,139
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,1322,1365
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,590,597
I. Nợ ngắn hạn,,,182,226
II. Nợ dài hạn,,,408,371
B. VỐN CHỦ SỞ HỮU,,,732,734
I. Vốn chủ sở hữu,,,732,734
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,1322,1331
