ABR,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,114,246
I. Tiền và các khoản tương đương tiền,,,4,45
II. Đầu tư tài chính ngắn hạn,,,79,72
III. Các khoản phải thu ngắn hạn,,,31,129
IV. Hàng tồn kho,,,,
V. Tài sản ngắn hạn khác,,,0,0
B. TÀI SẢN DÀI HẠN,,,240,122
I. Các khoản phải thu dài hạn,,,9,1
II. Tài sản cố định,,,0,0
III. Bất động sản đầu tư,,,,
IV. Tài sản dở dang dài hạn,,,,
V. Đầu tư tài chính dài hạn,,,197,87
VI. Tài sản dài hạn khác,,,35,34
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,354,368
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,60,69
I. Nợ ngắn hạn,,,48,58
II. Nợ dài hạn,,,12,11
B. VỐN CHỦ SỞ HỮU,,,294,300
I. Vốn chủ sở hữu,,,294,300
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,354,368
