ABS,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,947,942
I. Tiền và các khoản tương đương tiền,,,0,0
II. Đầu tư tài chính ngắn hạn,,,0,0
III. Các khoản phải thu ngắn hạn,,,944,939
IV. Hàng tồn kho,,,2,3
V. Tài sản ngắn hạn khác,,,1,0
B. TÀI SẢN DÀI HẠN,,,55,55
I. Các khoản phải thu dài hạn,,,,
II. Tài sản cố định,,,10,10
III. Bất động sản đầu tư,,,18,18
IV. Tài sản dở dang dài hạn,,,,
V. Đầu tư tài chính dài hạn,,,23,23
VI. Tài sản dài hạn khác,,,4,4
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,1002,997
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,85,83
I. Nợ ngắn hạn,,,85,82
II. Nợ dài hạn,,,1,1
B. VỐN CHỦ SỞ HỮU,,,917,915
I. Vốn chủ sở hữu,,,917,915
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,1002,997
