ABT,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,443,448
I. Tiền và các khoản tương đương tiền,,,58,29
II. Đầu tư tài chính ngắn hạn,,,214,255
III. Các khoản phải thu ngắn hạn,,,48,49
IV. Hàng tồn kho,,,122,111
V. Tài sản ngắn hạn khác,,,2,4
B. TÀI SẢN DÀI HẠN,,,331,334
I. Các khoản phải thu dài hạn,,,3,3
II. Tài sản cố định,,,117,121
III. Bất động sản đầu tư,,,,
IV. Tài sản dở dang dài hạn,,,0,1
V. Đầu tư tài chính dài hạn,,,187,187
VI. Tài sản dài hạn khác,,,24,23
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,774,782
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,211,232
I. Nợ ngắn hạn,,,196,209
II. Nợ dài hạn,,,15,23
B. VỐN CHỦ SỞ HỮU,,,563,549
I. Vốn chủ sở hữu,,,563,549
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,774,782
