ADP,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,318,357
I. Tiền và các khoản tương đương tiền,,,10,24
II. Đầu tư tài chính ngắn hạn,,,102,107
III. Các khoản phải thu ngắn hạn,,,69,78
IV. Hàng tồn kho,,,137,148
V. Tài sản ngắn hạn khác,,,1,1
B. TÀI SẢN DÀI HẠN,,,37,36
I. Các khoản phải thu dài hạn,,,,
II. Tài sản cố định,,,37,35
III. Bất động sản đầu tư,,,,
IV. Tài sản dở dang dài hạn,,,,0
V. Đầu tư tài chính dài hạn,,,,
VI. Tài sản dài hạn khác,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,355,393
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,83,98
I. Nợ ngắn hạn,,,83,98
II. Nợ dài hạn,,,,
B. VỐN CHỦ SỞ HỮU,,,272,294
I. Vốn chủ sở hữu,,,272,294
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,355,393
