ADS,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,1990,1958
I. Tiền và các khoản tương đương tiền,,,272,121
II. Đầu tư tài chính ngắn hạn,,,377,393
III. Các khoản phải thu ngắn hạn,,,786,863
IV. Hàng tồn kho,,,536,555
V. Tài sản ngắn hạn khác,,,19,27
B. TÀI SẢN DÀI HẠN,,,616,631
I. Các khoản phải thu dài hạn,,,,
II. Tài sản cố định,,,140,141
III. Bất động sản đầu tư,,,20,46
IV. Tài sản dở dang dài hạn,,,52,34
V. Đầu tư tài chính dài hạn,,,350,350
VI. Tài sản dài hạn khác,,,53,59
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,2606,2589
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,1646,1620
I. Nợ ngắn hạn,,,1608,1583
II. Nợ dài hạn,,,38,37
B. VỐN CHỦ SỞ HỮU,,,960,969
I. Vốn chủ sở hữu,,,960,969
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,2606,2589
