AGG,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,5819,2841
I. Tiền và các khoản tương đương tiền,,,167,178
II. Đầu tư tài chính ngắn hạn,,,30,27
III. Các khoản phải thu ngắn hạn,,,4717,1844
IV. Hàng tồn kho,,,776,671
V. Tài sản ngắn hạn khác,,,128,121
B. TÀI SẢN DÀI HẠN,,,1216,4096
I. Các khoản phải thu dài hạn,,,1087,3977
II. Tài sản cố định,,,20,18
III. Bất động sản đầu tư,,,32,25
IV. Tài sản dở dang dài hạn,,,,1
V. Đầu tư tài chính dài hạn,,,,
VI. Tài sản dài hạn khác,,,78,75
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,7035,6937
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,3898,3792
I. Nợ ngắn hạn,,,3211,3109
II. Nợ dài hạn,,,688,683
B. VỐN CHỦ SỞ HỮU,,,3137,3145
I. Vốn chủ sở hữu,,,3137,3145
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,7035,6937
