AGR,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,3245,2645
I. Tài sản tài chính ngắn hạn,,,3234,2636
II. Tài sản ngắn hạn khác,,,11,9
B. TÀI SẢN DÀI HẠN,,,227,223
I. Tài sản tài chính dài hạn,,,5,5
II. Tài sản cố định,,,193,189
III. Bất động sản đầu tư,,,,
IV. Chi phí xây dựng cơ bản dở dang,,,4,4
V. Tài sản dài hạn khác,,,25,25
VI. Dự phòng suy giảm giá trị tài sản dài hạn,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),,,3472,2868
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ (300=310+340),,,1030,408
I. Nợ ngắn hạn,,,1026,405
II. Nợ dài hạn,,,3,3
B. VỐN CHỦ SỞ HỮU (400=410+420),,,2443,2460
I. Vốn chủ sở hữu,,,2443,2460
II. Nguồn kinh phí và quỹ khác,,,,
TỔNG CỘNG NGUỒN VỐN (440=300+400),,,3472,2868
LỢI NHUẬN ĐÃ PHÂN PHỐI CHO NHÀ ĐẦU TƯ,,,,
1. Lợi nhuận đã phân phối cho Nhà đầu tư trong năm,,,,
