APH,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,6448,4799
I. Tiền và các khoản tương đương tiền,,,2421,2107
II. Đầu tư tài chính ngắn hạn,,,719,166
III. Các khoản phải thu ngắn hạn,,,1756,1555
IV. Hàng tồn kho,,,1352,828
V. Tài sản ngắn hạn khác,,,201,143
B. TÀI SẢN DÀI HẠN,,,6976,7051
I. Các khoản phải thu dài hạn,,,70,9
II. Tài sản cố định,,,3040,2764
III. Bất động sản đầu tư,,,1293,1277
IV. Tài sản dở dang dài hạn,,,1192,1594
V. Đầu tư tài chính dài hạn,,,271,577
VI. Tài sản dài hạn khác,,,1111,830
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,13425,11850
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,7506,6139
I. Nợ ngắn hạn,,,4006,3034
II. Nợ dài hạn,,,3500,3104
B. VỐN CHỦ SỞ HỮU,,,5918,5712
I. Vốn chủ sở hữu,,,5918,5712
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,13425,11850
