ASG,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,1759,1689
I. Tiền và các khoản tương đương tiền,,,276,262
II. Đầu tư tài chính ngắn hạn,,,917,905
III. Các khoản phải thu ngắn hạn,,,518,475
IV. Hàng tồn kho,,,28,28
V. Tài sản ngắn hạn khác,,,19,19
B. TÀI SẢN DÀI HẠN,,,1512,1505
I. Các khoản phải thu dài hạn,,,37,37
II. Tài sản cố định,,,457,459
III. Bất động sản đầu tư,,,2,2
IV. Tài sản dở dang dài hạn,,,367,366
V. Đầu tư tài chính dài hạn,,,242,243
VI. Tài sản dài hạn khác,,,406,399
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,3271,3194
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,1238,1138
I. Nợ ngắn hạn,,,977,877
II. Nợ dài hạn,,,261,261
B. VỐN CHỦ SỞ HỮU,,,2033,2056
I. Vốn chủ sở hữu,,,2033,2056
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,3271,3194
