ASM,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,13612,13306
I. Tiền và các khoản tương đương tiền,,,2070,599
II. Đầu tư tài chính ngắn hạn,,,2065,2807
III. Các khoản phải thu ngắn hạn,,,5081,5440
IV. Hàng tồn kho,,,4332,4374
V. Tài sản ngắn hạn khác,,,63,87
B. TÀI SẢN DÀI HẠN,,,9292,9245
I. Các khoản phải thu dài hạn,,,33,36
II. Tài sản cố định,,,6361,6282
III. Bất động sản đầu tư,,,509,504
IV. Tài sản dở dang dài hạn,,,1373,1405
V. Đầu tư tài chính dài hạn,,,33,33
VI. Tài sản dài hạn khác,,,984,985
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,22905,22551
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,14815,14427
I. Nợ ngắn hạn,,,7804,7327
II. Nợ dài hạn,,,7011,7100
B. VỐN CHỦ SỞ HỮU,,,8090,8124
I. Vốn chủ sở hữu,,,8080,8107
II. Nguồn kinh phí và quỹ khác,,,10,17
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,22905,22551
