AAA,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,,,3844,3858
2. Các khoản giảm trừ doanh thu,,,2,1
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,3843,3856
4. Giá vốn hàng bán,,,3389,3393
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,,453,464
6.Doanh thu hoạt động tài chính,,,92,38
7. Chi phí tài chính,,,77,162
Trong đó :Chi phí lãi vay,,,50,38
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,4,4
9. Chi phí bán hàng,,,234,182
10. Chi phí quản lý doanh nghiệp,,,141,98
11. Lợi nhuận thuần từ hoạt động kinh doanh,,,96,64
12. Thu nhập khác,,,4,11
13. Chi phí khác,,,9,6
14. Lợi nhuận khác,,,-5,5
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,
15. Tổng lợi nhuận kế toán trước thuế,,,91,68
16. Chi phí thuế TNDN hiện hành,,,39,14
17. Chi phí thuế TNDN hoãn lại,,,-2,-1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,,54,56
Lợi ích của cổ đông thiểu số,,,-15,10
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,69,45
19. Lãi cơ bản trên cổ phiếu (*),,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,
