ABS,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,,,87,66
2. Các khoản giảm trừ doanh thu,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,87,66
4. Giá vốn hàng bán,,,85,64
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,,1,2
6.Doanh thu hoạt động tài chính,,,0,0
7. Chi phí tài chính,,,3,1
Trong đó :Chi phí lãi vay,,,3,1
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,
9. Chi phí bán hàng,,,1,1
10. Chi phí quản lý doanh nghiệp,,,2,1
11. Lợi nhuận thuần từ hoạt động kinh doanh,,,-5,-2
12. Thu nhập khác,,,0,0
13. Chi phí khác,,,0,0
14. Lợi nhuận khác,,,0,0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,
15. Tổng lợi nhuận kế toán trước thuế,,,-4,-2
16. Chi phí thuế TNDN hiện hành,,,0,
17. Chi phí thuế TNDN hoãn lại,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,,-5,-2
Lợi ích của cổ đông thiểu số,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,-5,-2
19. Lãi cơ bản trên cổ phiếu (*),,,-57,-21
20. Lãi suy giảm trên cổ phiếu (*),,,-57,-21
