ACB,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,,,13518,13327
2. Chi phí lãi và các chi phí tương tự,,,6438,6968
I. Thu nhập lãi thuần,,,7080,6359
3. Thu nhập từ hoạt động dịch vụ,,,1436,1394
4. Chi phí hoạt động dịch vụ,,,567,522
II. Lãi/lỗ thuần từ hoạt động dịch vụ,,,869,872
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,,,344,476
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,-26,24
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,,213,-1
5. Thu nhập từ hoạt động khác,,,419,284
6. Chi phí hoạt động khác,,,347,102
VI. Lãi/lỗ thuần từ hoạt động khác,,,73,182
"VII. Thu nhập từ góp vốn, mua cổ phần",,,5,3
VIII. Chi phí hoạt động,,,2739,2692
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),,,5819,5223
X. Chi phí dự phòng rủi ro tín dụng,,,148,626
XI. Tổng lợi nhuận trước thuế (IX-X),,,5671,4597
7. Chi phí thuế TNDN hiện hành,,,1086,959
8. Chi phí thuế TNDN hoãn lại,,,40,-40
XII. Chi phí thuế TNDN,,,1126,918
XIII. Lợi nhuận sau thuế (XI-XII),,,4545,3678
XIV. Lợi ích của cổ đông thiểu số,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),,,4545,3678
Lãi cơ bản trên cổ phiếu (BCTC),,,,823
