ACC,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,,,270,130
2. Các khoản giảm trừ doanh thu,,,0,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,270,130
4. Giá vốn hàng bán,,,246,108
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,,24,22
6.Doanh thu hoạt động tài chính,,,3,2
7. Chi phí tài chính,,,10,8
Trong đó :Chi phí lãi vay,,,10,8
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,1,
9. Chi phí bán hàng,,,1,2
10. Chi phí quản lý doanh nghiệp,,,3,3
11. Lợi nhuận thuần từ hoạt động kinh doanh,,,14,12
12. Thu nhập khác,,,67,0
13. Chi phí khác,,,63,0
14. Lợi nhuận khác,,,4,0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,
15. Tổng lợi nhuận kế toán trước thuế,,,18,11
16. Chi phí thuế TNDN hiện hành,,,3,2
17. Chi phí thuế TNDN hoãn lại,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,,15,9
Lợi ích của cổ đông thiểu số,,,0,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,14,9
19. Lãi cơ bản trên cổ phiếu (*),,,136,85
20. Lãi suy giảm trên cổ phiếu (*),,,,
