ADG,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,,,153,84
2. Các khoản giảm trừ doanh thu,,,0,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,153,84
4. Giá vốn hàng bán,,,122,74
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,,31,11
6.Doanh thu hoạt động tài chính,,,2,2
7. Chi phí tài chính,,,1,1
Trong đó :Chi phí lãi vay,,,1,1
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,0,0
9. Chi phí bán hàng,,,6,7
10. Chi phí quản lý doanh nghiệp,,,7,8
11. Lợi nhuận thuần từ hoạt động kinh doanh,,,19,-4
12. Thu nhập khác,,,1,0
13. Chi phí khác,,,0,0
14. Lợi nhuận khác,,,0,0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,
15. Tổng lợi nhuận kế toán trước thuế,,,19,-4
16. Chi phí thuế TNDN hiện hành,,,3,0
17. Chi phí thuế TNDN hoãn lại,,,0,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,,16,-4
Lợi ích của cổ đông thiểu số,,,1,1
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,15,-5
19. Lãi cơ bản trên cổ phiếu (*),,,695,-233
20. Lãi suy giảm trên cổ phiếu (*),,,,
