ADP,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,,,193,201
2. Các khoản giảm trừ doanh thu,,,1,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,192,201
4. Giá vốn hàng bán,,,159,162
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,,33,39
6.Doanh thu hoạt động tài chính,,,3,1
7. Chi phí tài chính,,,0,0
Trong đó :Chi phí lãi vay,,,,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,
9. Chi phí bán hàng,,,5,5
10. Chi phí quản lý doanh nghiệp,,,9,6
11. Lợi nhuận thuần từ hoạt động kinh doanh,,,21,28
12. Thu nhập khác,,,0,0
13. Chi phí khác,,,0,0
14. Lợi nhuận khác,,,0,0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,
15. Tổng lợi nhuận kế toán trước thuế,,,21,28
16. Chi phí thuế TNDN hiện hành,,,4,6
17. Chi phí thuế TNDN hoãn lại,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,,16,22
Lợi ích của cổ đông thiểu số,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,16,22
19. Lãi cơ bản trên cổ phiếu (*),,,706,957
20. Lãi suy giảm trên cổ phiếu (*),,,706,957
