ADS,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,,,482,357
2. Các khoản giảm trừ doanh thu,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,482,357
4. Giá vốn hàng bán,,,431,325
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,,51,32
6.Doanh thu hoạt động tài chính,,,8,8
7. Chi phí tài chính,,,9,12
Trong đó :Chi phí lãi vay,,,,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,4,
9. Chi phí bán hàng,,,3,3
10. Chi phí quản lý doanh nghiệp,,,11,9
11. Lợi nhuận thuần từ hoạt động kinh doanh,,,41,16
12. Thu nhập khác,,,0,0
13. Chi phí khác,,,2,1
14. Lợi nhuận khác,,,-2,-1
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,
15. Tổng lợi nhuận kế toán trước thuế,,,38,15
16. Chi phí thuế TNDN hiện hành,,,4,1
17. Chi phí thuế TNDN hoãn lại,,,2,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,,33,14
Lợi ích của cổ đông thiểu số,,,4,3
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,29,11
19. Lãi cơ bản trên cổ phiếu (*),,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,
