LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025,LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP
Giai đoạn,,,01/10-31/12,01/01-31/03,
Hợp nhất,,,Mới nhất,Đơn lẻ,
Kiểm toán,,,VST Tính,Chưa kiểm toán,
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG KINH DOANH CHỨNG KHOÁN,,,,,
1. Lợi nhuận trước thuế,,,,,
2. Điều chỉnh cho các khoản,,,,,
- Khấu hao tài sản cố định,,,,,
- Các khoản lập dự phòng,,,,,
"- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",,,,,
"- Chi phí phải trả, chi phí trả trước",,,,,
"- Lãi, lỗ từ hoạt động đầu tư (đầu tư công ty con, liên doanh, liên kết)",,,,,
- Chi phí lãi vay,,,,,
"- Lãi, lỗ do thanh lý TSCĐ",,,,,
- Thu nhập lãi vay và cổ tức,,,,,
- Phân bổ lợi thế thương mại,,,,,
- Dự thu tiền lãi,,,,,
- Điều chỉnh cho các khoản khác,,,,,
3. Tăng các chi phí phi tiền tệ,,,,,
- Lỗ đánh giá giá trị các tài sản tài chính ghi nhận thông qua kết quả kinh doanh,,,,,
- Lỗ đánh giá giá trị các công nợ tài chính ghi nhận thông qua kết quả kinh doanh,,,,,
- Lỗ suy giảm giá trị Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,,,,
- Lỗ suy giảm giá trị Các khoản cho vay,,,,,
- Lỗ đánh giá giá trị các công cụ tài chính phái sinh,,,,,
- Lỗ từ thanh lý các tài sản tài chính sẵn sàng để bán,,,,,
- Lỗ về ghi nhận chênh lệch đánh giá theo giá trị hợp lý TSTC sẵn sàng để bán AFS khi phân loại lại,,,,,
- Lỗ đánh giá giá trị các công cụ tài chính phái sinh cho mục đích phòng ngừa rủi ro,,,,,
- Lỗ từ thanh lý tài sản cố định,,,,,
- Suy giảm giá trị của các tài sản cố định,,,,,
"- Lỗ từ thanh lý các khoản đầu tư vào công ty con và công ty liên doanh, liên kết",,,,,
- Chi phí dự phòng suy giảm giá trị các khoản đầu tư tài chính dài hạn,,,,,
- Lỗ khác,,,,,
4. Giảm các doanh thu phi tiền tệ,,,,,
- Lãi đánh giá giá trị các tài sản tài chính ghi nhận thông qua kết quả kinh doanh,,,,,
- Lãi đánh giá giá trị các công nợ tài chính thông qua kết quả kinh doanh,,,,,
- Lãi từ thanh lý các tài sản tài chính sẵn sàng để bán,,,,,
- Lãi về ghi nhận chênh lệch đánh giá theo giá trị hợp lý TSTC sẵn sàng để bán AFS khi phân loại lại,,,,,
- Lãi đánh giá giá trị các công cụ tài chính phái sinh cho mục đích phòng ngừa,,,,,
- Lãi từ thanh lý các khoản cho vay và phải thu,,,,,
