Time,Event,Link
15/05/2023 17:11,AAA: Biên bản họp và nghị quyết ĐHĐCĐ thường niên năm 2023,/du-lieu/aaa-233483/aaa-bien-ban-hop-va-nghi-quyet-dhdcd-thuong-nien-nam-2023.chn
29/07/2022 19:02,"AAA: 8.8.2022, giao dịch 55.840.000 cp niêm yết bổ sung",/du-lieu/aaa-419681/aaa-882022-giao-dich-55840000-cp-niem-yet-bo-sung.chn
29/07/2022 10:50,"AAA: 1.8.2022, niêm yết bổ sung 55.840.000 cp",/du-lieu/aaa-420587/aaa-182022-niem-yet-bo-sung-55840000-cp.chn
15/07/2022 17:31,AAA: Đã chào bán 55.840.000 cổ phiếu ra công chúng,/du-lieu/aaa-429947/aaa-da-chao-ban-55840000-co-phieu-ra-cong-chung.chn
15/07/2022 17:29,AAA: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 382.274.496 cp,/du-lieu/aaa-429953/aaa-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-382274496-cp.chn
21/06/2022 14:06,AAA: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2022,/du-lieu/aaa-445082/aaa-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2022.chn
04/05/2022 16:24,AAA: Chào bán cổ phiếu ra công chúng,/du-lieu/aaa-472145/aaa-chao-ban-co-phieu-ra-cong-chung.chn
05/10/2021 11:02,"AAA: 12.10.2021, giao dịch  29.674.522 cp niêm yết bổ sung",/du-lieu/aaa-1509793/aaa-12102021-giao-dich-29674522-cp-niem-yet-bo-sung.chn
04/10/2021 10:04,"AAA: 5.10.2021, niêm yết bổ sung 29.674.522 cp",/du-lieu/aaa-1265746/aaa-5102021-niem-yet-bo-sung-29674522-cp.chn
10/09/2021 16:31,AAA: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 326.434.496 cp,/du-lieu/aaa-1326310/aaa-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-326434496-cp.chn
10/09/2021 16:31,AAA: Đã phát hành 29.674.522 cp để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,/du-lieu/aaa-1328617/aaa-da-phat-hanh-29674522-cp-de-tang-von-co-phan-tu-nguon-von-chu-so-huu.chn
23/08/2021 13:48,"AAA: 1.9.2021, ngày GDKHQ nhận cp do tăng vốn cp từ NV CSH (tỷ lệ 10:1), trả cổ tức (500 đ/cp)",/du-lieu/aaa-1507468/aaa-192021-ngay-gdkhq-nhan-cp-do-tang-von-cp-tu-nv-csh-ty-le-101-tra-co-tuc-500-dcp.chn
10/08/2021 17:32,AAA: Nghị quyết HĐQT v/vchốt DSCĐ thực hiện phát hành cổ phiếu tăng vốn cổ phần và chi trả cổ tức,/du-lieu/aaa-1517905/aaa-nghi-quyet-hdqt-vvchot-dscd-thuc-hien-phat-hanh-co-phieu-tang-von-co-phan-va-chi-tra-co-tuc.chn
10/08/2021 17:32,AAA: Phát hành cổ phiếu để tăng vốn cổ phần từ NVCSH,/du-lieu/aaa-1520134/aaa-phat-hanh-co-phieu-de-tang-von-co-phan-tu-nvcsh.chn
30/06/2021 14:04,AAA: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2021,/du-lieu/aaa-1312159/aaa-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2021.chn
04/06/2021 13:47,AAA: Giao dịch 75.000.000 cp niêm yết bổ sung,/du-lieu/aaa-1374148/aaa-giao-dich-75000000-cp-niem-yet-bo-sung.chn
01/06/2021 10:48,"AAA: 2.6.2021, niêm yết bổ sung 75.000.000 cp",/du-lieu/aaa-1485007/aaa-262021-niem-yet-bo-sung-75000000-cp.chn
21/05/2021 14:24,AAA: Đã chào bán 75.000.000 cổ phiếu ra công chúng,/du-lieu/aaa-1529506/aaa-da-chao-ban-75000000-co-phieu-ra-cong-chung.chn
21/05/2021 13:59,AAA: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 296.759.974 cp,/du-lieu/aaa-1506295/aaa-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-296759974-cp.chn
29/03/2021 15:17,AAA: Chào bán cổ phiếu ra công chúng,/du-lieu/aaa-1526371/aaa-chao-ban-co-phieu-ra-cong-chung.chn
23/11/2020 13:56,"AAA: 19.11.2020, niêm yết bổ sung 10.559.998 cp",/du-lieu/aaa-1060258/aaa-19112020-niem-yet-bo-sung-10559998-cp.chn
20/11/2020 17:12,"AAA: 27.11.2020, giao dịch 10.559.998 cp niêm yết bổ sung.",/du-lieu/aaa-1714747/aaa-27112020-giao-dich-10559998-cp-niem-yet-bo-sung.chn
26/10/2020 13:15,AAA: Đã phát hành 10.559.998 cổ phiếu để trả cổ tức,/du-lieu/aaa-1691434/aaa-da-phat-hanh-10559998-co-phieu-de-tra-co-tuc.chn
26/10/2020 13:15,AAA: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 221.759.974 cp,/du-lieu/aaa-1692694/aaa-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-221759974-cp.chn
12/10/2020 17:44,"AAA: 19.10.2020, ngày GDKHQ trả cổ tức năm 2019 (tỷ lệ 100:05)",/du-lieu/aaa-1638079/aaa-19102020-ngay-gdkhq-tra-co-tuc-nam-2019-ty-le-10005.chn
05/10/2020 16:48,AAA: Ngày ĐKCC để thực hiện quyền nhận cổ tức bằng cổ phiếu,/du-lieu/aaa-1576891/aaa-ngay-dkcc-de-thuc-hien-quyen-nhan-co-tuc-bang-co-phieu.chn
05/08/2020 17:53,"AAA: 12.8.2020, giao dịch 40.000.000 cp niêm yết bổ sung",/du-lieu/aaa-1734754/aaa-1282020-giao-dich-40000000-cp-niem-yet-bo-sung.chn
03/08/2020 17:08,"AAA: 5.8.2020, niêm yết bổ sung 40.000.000 cp",/du-lieu/aaa-1732312/aaa-582020-niem-yet-bo-sung-40000000-cp.chn
17/07/2020 14:41,AAA: Đã phát hành 40.000.000 cp để thực hiện chứng quyền,/du-lieu/aaa-1561918/aaa-da-phat-hanh-40000000-cp-de-thuc-hien-chung-quyen.chn
17/07/2020 14:38,AAA: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 211.199.976 cp,/du-lieu/aaa-1563856/aaa-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-211199976-cp.chn
