Time,Event,Link
20/03/2023 17:03,AAM: Biên bản và nghị quyết ĐHĐCĐ thường niên năm TC 2022,/du-lieu/aam-303287/aam-bien-ban-va-nghi-quyet-dhdcd-thuong-nien-nam-tc-2022.chn
29/03/2021 14:17,AAM: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2021,/du-lieu/aam-1606720/aam-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2021.chn
29/10/2019 17:20,AAM: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 10.451.182 cp,/du-lieu/aam-1713226/aam-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-10451182-cp.chn
29/10/2019 17:20,AAM: Đã bán 5.000 cp quỹ,/du-lieu/aam-1715293/aam-da-ban-5000-cp-quy.chn
17/05/2019 13:13,"AAM: 27.5.2019, giao dịch 2.410.710 cp niêm yết bổ sung",/du-lieu/aam-1476247/aam-2752019-giao-dich-2410710-cp-niem-yet-bo-sung.chn
15/05/2019 17:27,"AAM: 17.5.2019, niêm yết bổ sung 2.410.710 cp",/du-lieu/aam-1457758/aam-1752019-niem-yet-bo-sung-2410710-cp.chn
20/04/2019 09:18,AAM: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 10.446.182,/du-lieu/aam-1341583/aam-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-10446182.chn
19/04/2019 17:46,AAM: Đã phát hành 2.410.710 cp để tăng vốn cổ phần từ NVCSH,/du-lieu/aam-1341322/aam-da-phat-hanh-2410710-cp-de-tang-von-co-phan-tu-nvcsh.chn
22/03/2019 10:23,Thủy sản Mekong (AAM) thông qua phương án phát hành cổ phiếu thưởng tỷ lệ 30%,/du-lieu/aam-1589350/thuy-san-mekong-aam-thong-qua-phuong-an-phat-hanh-co-phieu-thuong-ty-le-30.chn
29/11/2018 17:09,AAM: Đã mua 1.900.000 cp làm cp quỹ,/du-lieu/aam-1042552/aam-da-mua-1900000-cp-lam-cp-quy.chn
17/10/2018 10:56,AAM: Đăng ký mua lại 2.400.000 cp làm cp quỹ,/du-lieu/aam-1020217/aam-dang-ky-mua-lai-2400000-cp-lam-cp-quy.chn
