Time,Event,Link
09/08/2023 00:00,"AAT: 16.8.2023, giao dịch 7.017.614 cp niêm yết bổ sung",/du-lieu/aat-1756654/aat-1682023-giao-dich-7017614-cp-niem-yet-bo-sung.chn
04/08/2023 00:00,"AAT: 7.8.2023, niêm yết bổ sung 7.017.614 cp",/du-lieu/aat-1750878/aat-782023-niem-yet-bo-sung-7017614-cp.chn
11/07/2023 00:00,AAT: Số lượng cổ phiếu có quyền biểu quyết là 70.819.103 cp,/du-lieu/aat-546948/aat-so-luong-co-phieu-co-quyen-bieu-quyet-la-70819103-cp.chn
14/06/2023 09:50,"AAT: 4.7.2023, ngày GDKHQ trả cổ tức năm 2022 (tỷ lệ 100:11)",/du-lieu/aat-1835999/aat-472023-ngay-gdkhq-tra-co-tuc-nam-2022-ty-le-10011.chn
14/06/2023 00:00,"AAT: 4.7.2023, ngày GDKHQ trả cổ tức năm 2022 (tỷ lệ 100:11)",/du-lieu/aat-546947/aat-472023-ngay-gdkhq-tra-co-tuc-nam-2022-ty-le-10011.chn
05/06/2023 14:32,AAT: Phát hành cổ phiếu để trả cổ tức,/du-lieu/aat-220664/aat-phat-hanh-co-phieu-de-tra-co-tuc.chn
27/04/2023 16:53,"AAT: Nghị quyết, Biên bản họp và tài liệu họp ĐHĐCĐ thường niên năm 2023",/du-lieu/aat-244334/aat-nghi-quyet-bien-ban-hop-va-tai-lieu-hop-dhdcd-thuong-nien-nam-2023.chn
04/05/2022 14:29,AAT: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2022,/du-lieu/aat-472439/aat-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2022.chn
10/02/2022 14:51,AAT: Giao dịch 25.000.000 cp niêm yết bổ sung,/du-lieu/aat-499202/aat-giao-dich-25000000-cp-niem-yet-bo-sung.chn
25/01/2022 13:46,"AAT: 26.1.2022, niêm yết bổ sung 25.000.000 cp",/du-lieu/aat-508202/aat-2612022-niem-yet-bo-sung-25000000-cp.chn
31/12/2021 15:17,"AAT: Nghị quyết HĐQT thông qua kết quả chào bán cổ phiếu riêng lẻ, sửa đổi điều lệ, đăng ký kinh doanh",/du-lieu/aat-521891/aat-nghi-quyet-hdqt-thong-qua-ket-qua-chao-ban-co-phieu-rieng-le-sua-doi-dieu-le-dang-ky-kinh-doanh.chn
20/12/2021 17:13,AAT: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 63.801.489 cp,/du-lieu/aat-1274146/aat-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-63801489-cp.chn
20/12/2021 17:11,AAT: Đã phân phối 25.000.000 cp đợt chào bán cổ phiếu riêng lẻ,/du-lieu/aat-1273105/aat-da-phan-phoi-25000000-cp-dot-chao-ban-co-phieu-rieng-le.chn
25/11/2021 15:19,"AAT: 1.12.2021, giao dịch 4.001.489 cp niêm yết bổ sung",/du-lieu/aat-1342744/aat-1122021-giao-dich-4001489-cp-niem-yet-bo-sung.chn
22/11/2021 17:48,"AAT: 23.11.2021, niêm yết bố sung 4.001.489 cp",/du-lieu/aat-1364251/aat-23112021-niem-yet-bo-sung-4001489-cp.chn
27/10/2021 16:00,AAT: Đã phát hành 4.001.489 cổ phiếu để trả cổ tức,/du-lieu/aat-1474972/aat-da-phat-hanh-4001489-co-phieu-de-tra-co-tuc.chn
27/10/2021 15:58,AAT: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 38.801.489 cp,/du-lieu/aat-1475812/aat-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-38801489-cp.chn
04/10/2021 17:49,"AAT: 14.10.2021, ngày GDKHQ chi trả cổ tức năm 2020 bằng tiền (1.000 đ/cp), bằng cp (tỷ lệ 10:1.15)",/du-lieu/aat-1278910/aat-14102021-ngay-gdkhq-chi-tra-co-tuc-nam-2020-bang-tien-1000-dcp-bang-cp-ty-le-10115.chn
13/09/2021 15:44,Tiên Sơn Thanh Hóa (AAT) sắp huy động 250 tỷ đồng thông qua phát hành cổ phiếu riêng lẻ nhằm xây nhà máy và trả nợ,/du-lieu/aat-1323322/tien-son-thanh-hoa-aat-sap-huy-dong-250-ty-dong-thong-qua-phat-hanh-co-phieu-rieng-le-nham-xay-nha-may-va-tra-no.chn
17/08/2021 09:20,Tiên Sơn Thanh Hóa (AAT) triển khai phương án chào bán riêng lẻ 25 triệu cổ phiếu với giá 10.000 đồng/cp,/du-lieu/aat-1529287/tien-son-thanh-hoa-aat-trien-khai-phuong-an-chao-ban-rieng-le-25-trieu-co-phieu-voi-gia-10000-dongcp.chn
30/12/2020 14:07,AAT: Quyết định v/v chấp thuận niêm yết cổ phiếu,/du-lieu/aat-1523089/aat-quyet-dinh-vv-chap-thuan-niem-yet-co-phieu.chn
