Time,Event,Link
28/06/2023 00:00,ABS: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2023,/du-lieu/abs-533794/abs-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2023.chn
25/04/2022 15:30,ABS: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2022,/du-lieu/abs-480164/abs-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2022.chn
17/09/2021 13:57,"ABS: 30.9.2021, ngày GDKHQ chi trả cổ tức năm 2020 (500 đ/cp)",/du-lieu/abs-1394548/abs-3092021-ngay-gdkhq-chi-tra-co-tuc-nam-2020-500-dcp.chn
12/07/2021 17:37,ABS: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2021,/du-lieu/abs-1588588/abs-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2021.chn
27/04/2021 10:07,ABS: Nghị quyết ĐHĐCĐ Thường niên năm 2021,/du-lieu/abs-1365910/abs-nghi-quyet-dhdcd-thuong-nien-nam-2021.chn
04/02/2021 13:42,"ABS: 18.1.2022, giao dịch 42.560.127 cp niêm yết bổ sung",/du-lieu/abs-1304170/abs-1812022-giao-dich-42560127-cp-niem-yet-bo-sung.chn
29/01/2021 00:00,"ABS: 1.2.2021, niêm yết bổ sung 42.560.127 cp",/du-lieu/abs-1886014/abs-122021-niem-yet-bo-sung-42560127-cp.chn
12/01/2021 00:00,ABS: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 80.000.000 cp,/du-lieu/abs-1892080/abs-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-80000000-cp.chn
22/10/2020 12:25,"Từng ""gây sốc"" với chuỗi 16 phiên tăng trần rồi giảm sâu, Nông nghiệp Bình Thuận (ABS) thông báo chào bán riêng lẻ 42,5 triệu cổ phiếu",/du-lieu/abs-1617676/tung-gay-soc-voi-chuoi-16-phien-tang-tran-roi-giam-sau-nong-nghiep-binh-thuan-abs-thong-bao-chao-ban-rieng-le-425-trieu-co-phieu.chn
21/10/2020 15:32,ABS: Nghị quyết HĐQT triển khai phương án phát hành riêng lẻ cổ phiếu tăng vốn điều lệ lên 800 tỷ đồng,/du-lieu/abs-1610101/abs-nghi-quyet-hdqt-trien-khai-phuong-an-phat-hanh-rieng-le-co-phieu-tang-von-dieu-le-len-800-ty-dong.chn
08/10/2020 00:00,"ABS: 16.10.2020, giao dịch 8.639.873 cp niêm yết bổ sung",/du-lieu/abs-1886016/abs-16102020-giao-dich-8639873-cp-niem-yet-bo-sung.chn
14/09/2020 13:22,ABS: Báo cáo kết quả phát hành cổ phiếu để trả cổ tức và phát hành cổ phiếu ESOP,/du-lieu/abs-1619998/abs-bao-cao-ket-qua-phat-hanh-co-phieu-de-tra-co-tuc-va-phat-hanh-co-phieu-esop.chn
14/09/2020 13:22,ABS: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 37.439.873 cp,/du-lieu/abs-1627429/abs-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-37439873-cp.chn
27/08/2020 14:48,"ABS: 3.9.2020, ngày GDKHQ chi trả cổ tức năm 2019 (tỷ lệ 10:2.5)",/du-lieu/abs-1615750/abs-392020-ngay-gdkhq-chi-tra-co-tuc-nam-2019-ty-le-1025.chn
24/08/2020 17:34,ABS: Ngày ĐKCC để thực hiện quyền trả cổ tức năm 2019 bằng cổ phiếu,/du-lieu/abs-1283611/abs-ngay-dkcc-de-thuc-hien-quyen-tra-co-tuc-nam-2019-bang-co-phieu.chn
24/08/2020 17:34,ABS: Phát hành cổ phiếu để trả cổ tức và phát hành cổ phiếu ESOP,/du-lieu/abs-1286551/abs-phat-hanh-co-phieu-de-tra-co-tuc-va-phat-hanh-co-phieu-esop.chn
20/08/2020 17:27,ABS: Phát hành cổ phiếu để trả cổ tức và phát hành cổ phiếu ESOP,/du-lieu/abs-1271776/abs-phat-hanh-co-phieu-de-tra-co-tuc-va-phat-hanh-co-phieu-esop.chn
27/12/2019 17:23,ABS: Quyết định chấp thuận đăng ký niêm yết cổ phiếu lần đầu,/du-lieu/abs-1423744/abs-quyet-dinh-chap-thuan-dang-ky-niem-yet-co-phieu-lan-dau.chn
