Time,Event,Link
21/07/2022 17:28,ABT: Giao dịch 280.000 cổ phiếu thay đổi niêm yết,/du-lieu/abt-426164/abt-giao-dich-280000-co-phieu-thay-doi-niem-yet.chn
15/07/2022 09:01,"ABT: 18.7.2022, niêm yết bổ sung 280.000 cp",/du-lieu/abt-430598/abt-1872022-niem-yet-bo-sung-280000-cp.chn
01/06/2022 15:49,ABT: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 11.777.257 cp,/du-lieu/abt-454967/abt-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-11777257-cp.chn
18/04/2022 13:38,ABT: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2022,/du-lieu/abt-487277/abt-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2022.chn
24/08/2021 14:13,ABT: Thông báo về việc chuyển giao dịch cổ phiếu trở lại Sở GDCK TP Hồ Chí Minh,/du-lieu/abt-1420108/abt-thong-bao-ve-viec-chuyen-giao-dich-co-phieu-tro-lai-so-gdck-tp-ho-chi-minh.chn
19/03/2021 14:08,"ABT: Ngày 01/04/2021, giao dịch đầu tiên của 14.107.207 cổ phiếu chuyển giao dịch",/du-lieu/abt-1535827/abt-ngay-01042021-giao-dich-dau-tien-cua-14107207-co-phieu-chuyen-giao-dich.chn
06/06/2016 13:38,"ABT: 10.6.2016, giao dịch 500.000 cổ phiếu niêm yết bổ sung",/du-lieu/abt-1237303/abt-1062016-giao-dich-500000-co-phieu-niem-yet-bo-sung.chn
17/07/2015 13:53,Lịch chốt quyền nhận cổ tức bằng tiền của 14 doanh nghiệp,/du-lieu/abt-835042/lich-chot-quyen-nhan-co-tuc-bang-tien-cua-14-doanh-nghiep.chn
29/01/2015 00:00,ABT: Đã bán 50 cổ phiếu quỹ,/du-lieu/abt-839473/abt-da-ban-50-co-phieu-quy.chn
19/12/2014 16:38,ABT: Thông báo giao dịch bán 2.610.000 cổ phiếu quỹ,/du-lieu/abt-795466/abt-thong-bao-giao-dich-ban-2610000-co-phieu-quy.chn
28/11/2014 16:00,ABT: Chưa bán 2.610.000 cp quỹ,/du-lieu/abt-951577/abt-chua-ban-2610000-cp-quy.chn
17/10/2014 16:34,ABT: Đăng ký bán 2.610.000 cổ phiếu quỹ,/du-lieu/abt-873838/abt-dang-ky-ban-2610000-co-phieu-quy.chn
19/09/2014 15:37,"ABT đăng ký bán toàn bộ 2,6 triệu cổ phiếu quỹ",/du-lieu/abt-643646/abt-dang-ky-ban-toan-bo-26-trieu-co-phieu-quy.chn
19/09/2014 14:18,ABT: Nghị quyết HĐQT v/v bán cổ phiếu quỹ,/du-lieu/abt-650742/abt-nghi-quyet-hdqt-vv-ban-co-phieu-quy.chn
01/04/2014 14:01,ABT: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 11.497.207 cp,/du-lieu/abt-915361/abt-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-11497207-cp.chn
01/04/2014 00:00,ABT: Đã mua lại 10.000 cổ phiếu làm cổ phiếu quỹ,/du-lieu/abt-916534/abt-da-mua-lai-10000-co-phieu-lam-co-phieu-quy.chn
27/06/2013 10:29,ABT: PAN giảm tỷ lệ sở hữu do niêm yết 500.000 cp ESOP,/du-lieu/abt-702398/abt-pan-giam-ty-le-so-huu-do-niem-yet-500000-cp-esop.chn
24/06/2013 17:12,ABT: Quyết định niêm yết bổ sung 500.000 cổ phiếu,/du-lieu/abt-642226/abt-quyet-dinh-niem-yet-bo-sung-500000-co-phieu.chn
24/06/2013 16:28,ABT: Niêm yết bổ sung 500.000 cổ phiếu,/du-lieu/abt-633836/abt-niem-yet-bo-sung-500000-co-phieu.chn
03/06/2013 13:22,ABT: Đã phát hành 500.000 cổ phiếu ESOP,/du-lieu/abt-611312/abt-da-phat-hanh-500000-co-phieu-esop.chn
23/04/2013 13:25,ABT: Phát hành cổ phiếu ESOP,/du-lieu/abt-700388/abt-phat-hanh-co-phieu-esop.chn
24/04/2012 10:08,ABT: Đã mua 51.100 cổ phiếu quỹ,/du-lieu/abt-1833281/abt-da-mua-51100-co-phieu-quy.chn
08/02/2012 11:39,ABT: Đăng ký mua 170.000 mua cổ phiếu quỹ,/du-lieu/abt-678334/abt-dang-ky-mua-170000-mua-co-phieu-quy.chn
07/02/2012 15:23,ABT: Nghị quyết Hội đồng Quản trị đăng ký mua 170.000 mua cổ phiếu quỹ,/du-lieu/abt-643234/abt-nghi-quyet-hoi-dong-quan-tri-dang-ky-mua-170000-mua-co-phieu-quy.chn
03/01/2012 17:23,ABT: Đã mua 706.600 cổ phiếu quỹ,/du-lieu/abt-1833023/abt-da-mua-706600-co-phieu-quy.chn
26/10/2011 17:42,ABT: Nghị quyết Hội đồng Quản trị mua cổ phiếu quỹ đợt 4/2011,/du-lieu/abt-693706/abt-nghi-quyet-hoi-dong-quan-tri-mua-co-phieu-quy-dot-42011.chn
17/10/2011 17:31,ABT: Đã mua 153.540 cổ phiếu quỹ,/du-lieu/abt-697906/abt-da-mua-153540-co-phieu-quy.chn
09/08/2011 11:19,ABT: Thông báo mua lại 1.360.720 CP làm cổ phiếu quỹ,/du-lieu/abt-602900/abt-thong-bao-mua-lai-1360720-cp-lam-co-phieu-quy.chn
08/08/2011 16:24,ABT: Dự kiến mua thêm 10% vốn điều lệ để làm cổ phiếu quỹ,/du-lieu/abt-656614/abt-du-kien-mua-them-10-von-dieu-le-de-lam-co-phieu-quy.chn
08/08/2011 16:04,ABT: Thông báo Nghị quyết HĐQT - Đăng ký mua lại 1.360.720 CP làm CP quỹ,/du-lieu/abt-647658/abt-thong-bao-nghi-quyet-hdqt-dang-ky-mua-lai-1360720-cp-lam-cp-quy.chn
