Time,Event,Link
12/05/2025 10:35,ACB được chấp thuận tăng vốn lên gần 51.400 tỷ đồng,/du-lieu/acb-2194675/acb-duoc-chap-thuan-tang-von-len-gan-51400-ty-dong.chn
17/03/2025 00:00,ACB: Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 1 năm tài chính 2025,/du-lieu/acb-2152072/acb-nghi-quyet-hdqt-ve-phuong-an-phat-hanh-trai-phieu-rieng-le-lan-1-nam-tai-chinh-2025.chn
28/06/2024 00:00,ACB: Thông báo về việc giao dịch cổ phiếu thay đổi đăng ký niêm yết,/du-lieu/acb-2015900/acb-thong-bao-ve-viec-giao-dich-co-phieu-thay-doi-dang-ky-niem-yet.chn
26/06/2024 00:00,"ACB: 27.6.2024, niêm yết bổ sung 582.607.554 cp",/du-lieu/acb-2013681/acb-2762024-niem-yet-bo-sung-582607554-cp.chn
06/06/2024 00:00,ACB: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 4.466.657.912 cp,/du-lieu/acb-2003971/acb-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-4466657912-cp.chn
12/07/2023 00:00,ACB: Giao dịch 506.615.264 cp niêm yết bổ sung,/du-lieu/acb-758198/acb-giao-dich-506615264-cp-niem-yet-bo-sung.chn
05/07/2023 00:00,"ACB: 6.7.2023, niêm yết bổ sung 506.615.264 cp",/du-lieu/acb-538931/acb-672023-niem-yet-bo-sung-506615264-cp.chn
09/06/2023 13:36,ACB: Đã phát hành 506.615.264 cổ phiếu để trả cổ tức,/du-lieu/acb-217700/acb-da-phat-hanh-506615264-co-phieu-de-tra-co-tuc.chn
07/06/2023 18:09,ACB: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 3.884.050.358 cp,/du-lieu/acb-218717/acb-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-3884050358-cp.chn
25/05/2023 15:04,"ACB: 1.6.2023, ngày GDKHQ trả cổ tức năm 2022 bằng tiền (1.000 đ/cp), bằng cổ phiếu (tỷ lệ 100:15)",/du-lieu/acb-226829/acb-162023-ngay-gdkhq-tra-co-tuc-nam-2022-bang-tien-1000-dcp-bang-co-phieu-ty-le-10015.chn
23/05/2023 15:47,ACB: Phát hành cổ phiếu để trả cổ tức 2022,/du-lieu/acb-228464/acb-phat-hanh-co-phieu-de-tra-co-tuc-2022.chn
