Time,Event,Link
01/04/2024 00:00,"ACC: Báo cáo định kỳ tình hình thanh toán gốc, lãi trái phiếu doanh nghiệp năm 2023",/du-lieu/acc-1970133/acc-bao-cao-dinh-ky-tinh-hinh-thanh-toan-goc-lai-trai-phieu-doanh-nghiep-nam-2023.chn
01/04/2024 00:00,ACC: Báo cáo định kỳ tình hình sử dụng vốn trái phiếu năm 2023 đã kiểm toán,/du-lieu/acc-1970164/acc-bao-cao-dinh-ky-tinh-hinh-su-dung-von-trai-phieu-nam-2023-da-kiem-toan.chn
01/04/2024 00:00,ACC: Báo cáo định kỳ tình hình sử dụng vốn trái phiếu năm 2023,/du-lieu/acc-1970165/acc-bao-cao-dinh-ky-tinh-hinh-su-dung-von-trai-phieu-nam-2023.chn
04/05/2023 10:07,ACC: Biên bản họp và nghị quyết ĐHĐCĐ thường niên năm 2023 kèm tài liệu,/du-lieu/acc-241271/acc-bien-ban-hop-va-nghi-quyet-dhdcd-thuong-nien-nam-2023-kem-tai-lieu.chn
04/05/2022 17:02,ACC: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2022,/du-lieu/acc-472016/acc-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2022.chn
09/03/2022 17:36,"ACC: 11.3.2022, niêm yết bổ sung 74.999.993 cp",/du-lieu/acc-1835819/acc-1132022-niem-yet-bo-sung-74999993-cp.chn
29/12/2021 14:54,"ACC: 6.1.2022, ngày GDKHQ thực hiện quyền mua cổ phiếu phát hành cho CĐHH (tỷ lệ 1:2.5)",/du-lieu/acc-523439/acc-612022-ngay-gdkhq-thuc-hien-quyen-mua-co-phieu-phat-hanh-cho-cdhh-ty-le-125.chn
27/12/2021 20:59,Xây dựng Bình Dương (ACC) chốt danh sách cổ đông chào bán 75 triệu cổ phiếu giá 10.000 đồng/cp,/du-lieu/acc-524597/xay-dung-binh-duong-acc-chot-danh-sach-co-dong-chao-ban-75-trieu-co-phieu-gia-10000-dongcp.chn
27/12/2021 11:33,ACC: Chào bán cổ phiếu ra công chúng,/du-lieu/acc-525176/acc-chao-ban-co-phieu-ra-cong-chung.chn
07/10/2021 16:45,Becamex ACC (ACC) triển khai chào bán 75 triệu cổ phiếu cho cổ đông hiện hữu,/du-lieu/acc-1518811/becamex-acc-acc-trien-khai-chao-ban-75-trieu-co-phieu-cho-co-dong-hien-huu.chn
07/10/2021 14:30,ACC: Nghị quyết HĐQT v/v triển khai phương án chào bán cổ phiếu cho cổ đông hiện hữu,/du-lieu/acc-1503976/acc-nghi-quyet-hdqt-vv-trien-khai-phuong-an-chao-ban-co-phieu-cho-co-dong-hien-huu.chn
11/01/2021 00:00,"ACC: 13.1.2021, niêm yết bổ sung 20.000.000 cp",/du-lieu/acc-1886285/acc-1312021-niem-yet-bo-sung-20000000-cp.chn
22/12/2020 17:34,ACC: Đã phân phối 20.000.000 cổ phiếu cho CĐHH,/du-lieu/acc-1588501/acc-da-phan-phoi-20000000-co-phieu-cho-cdhh.chn
22/12/2020 17:34,"ACC: Nghị quyết HĐQT v/v báo cáo kết quả phát hành cổ phiếu ra công chúng cho CĐHH, sửa đổi điều lệ",/du-lieu/acc-1593196/acc-nghi-quyet-hdqt-vv-bao-cao-ket-qua-phat-hanh-co-phieu-ra-cong-chung-cho-cdhh-sua-doi-dieu-le.chn
22/12/2020 17:28,ACC: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 30.000.000 cp,/du-lieu/acc-1617673/acc-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-30000000-cp.chn
18/12/2020 16:19,ACC: Nghị quyết HĐQT v/v phân phối cổ phần không bán hết trong đợt phát hành cho CĐHH,/du-lieu/acc-1043500/acc-nghi-quyet-hdqt-vv-phan-phoi-co-phan-khong-ban-het-trong-dot-phat-hanh-cho-cdhh.chn
09/11/2020 10:23,"ACC: 16.11.2020, ngày GDKHQ chào bán cổ phiếu cho CĐHH (tỷ lệ 1:2)",/du-lieu/acc-1741126/acc-16112020-ngay-gdkhq-chao-ban-co-phieu-cho-cdhh-ty-le-12.chn
05/11/2020 14:29,ACC: Chào bán cổ phiếu ra công chúng,/du-lieu/acc-1686340/acc-chao-ban-co-phieu-ra-cong-chung.chn
04/11/2020 16:13,ACC: Ngày ĐKCC để thực hiện quyền mua cổ phiếu của CĐHH,/du-lieu/acc-980539/acc-ngay-dkcc-de-thuc-hien-quyen-mua-co-phieu-cua-cdhh.chn
11/06/2018 17:44,Điểm danh những doanh nghiệp chốt quyền trả cổ tức/cổ phiếu thưởng tuần này,/du-lieu/acc-988540/diem-danh-nhung-doanh-nghiep-chot-quyen-tra-co-tucco-phieu-thuong-tuan-nay.chn
28/06/2011 14:11,ACC: Bài giới thiệu niêm yết,/du-lieu/acc-598889/acc-bai-gioi-thieu-niem-yet.chn
17/06/2011 17:16,ACC: Quyết định niêm yết 10 triệu cổ phiếu,/du-lieu/acc-749264/acc-quyet-dinh-niem-yet-10-trieu-co-phieu.chn
09/03/2011 17:38,ACC: 21/3 - Chốt danh sách cổ đông để bổ sung hồ sơ niêm yết trên HOSE,/du-lieu/acc-702942/acc-213-chot-danh-sach-co-dong-de-bo-sung-ho-so-niem-yet-tren-hose.chn
14/12/2010 15:00,ACC: 20/12 Chính thức giao dịch 4 triệu cổ phiếu niêm yết bổ sung,/du-lieu/acc-684994/acc-2012-chinh-thuc-giao-dich-4-trieu-co-phieu-niem-yet-bo-sung.chn
09/12/2010 14:48,ACC: Chấp thuận ĐKGD bổ sung 4 triệu cổ phiếu,/du-lieu/acc-717204/acc-chap-thuan-dkgd-bo-sung-4-trieu-co-phieu.chn
01/11/2010 18:06,ACC: Chào bán thành công 4 triệu cổ phiếu,/du-lieu/acc-653510/acc-chao-ban-thanh-cong-4-trieu-co-phieu.chn
13/08/2010 15:14,ACC: 18/8 Tạm ứng cổ tức bằng tiền mặt năm 2010 và thực hiện quyền mua cổ phiếu phát hành thêm,/du-lieu/acc-550427/acc-188-tam-ung-co-tuc-bang-tien-mat-nam-2010-va-thuc-hien-quyen-mua-co-phieu-phat-hanh-them.chn
20/11/2009 16:19,VSD cấp Giấy chứng nhận đăng ký chứng khoán cho Công ty cổ phần Bê tông Becamex (Mã CK: ACC),/du-lieu/acc-681608/vsd-cap-giay-chung-nhan-dang-ky-chung-khoan-cho-cong-ty-co-phan-be-tong-becamex-ma-ck-acc.chn
