Time,Event,Link
24/11/2023 00:00,ACG: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 150.787.946 cp,/du-lieu/acg-1898506/acg-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-150787946-cp.chn
16/08/2023 00:00,"ACG: 23.8.2023, giao dịch 14.941.824 cp niêm yết bổ sung",/du-lieu/acg-1765526/acg-2382023-giao-dich-14941824-cp-niem-yet-bo-sung.chn
11/08/2023 00:00,"ACG: 14.8.2023, niêm yết bổ sung 14.941.824 cp ",/du-lieu/acg-1760224/acg-1482023-niem-yet-bo-sung-14941824-cp.chn
11/07/2023 00:00,"ACG: 18.7.2023, ngày GDKHQ trả cổ tức bằng cổ phiếu đợt 2/2022 (tỷ lệ 100:11)",/du-lieu/acg-772794/acg-1872023-ngay-gdkhq-tra-co-tuc-bang-co-phieu-dot-22022-ty-le-10011.chn
27/04/2023 17:06,ACG: Biên bản họp và nghị quyết ĐHĐCĐ thường niên năm 2023,/du-lieu/acg-244232/acg-bien-ban-hop-va-nghi-quyet-dhdcd-thuong-nien-nam-2023.chn
28/12/2022 15:05,ACG: Bà Võ Thị Ngọc Ánh được ủy quyền thực hiện công bố thông tin từ 27.12.2022,/du-lieu/acg-346031/acg-ba-vo-thi-ngoc-anh-duoc-uy-quyen-thuc-hien-cong-bo-thong-tin-tu-27122022.chn
28/09/2022 17:16,"ACG: 10.10.2022, giao dịch 135.846.122 cp niêm yết bổ sung",/du-lieu/acg-388673/acg-10102022-giao-dich-135846122-cp-niem-yet-bo-sung.chn
03/06/2022 17:15,"ACG: Ngày 13/06/2022, giao dịch 48.195.778 cổ phiếu niêm yết bổ sung",/du-lieu/acg-453215/acg-ngay-13062022-giao-dich-48195778-co-phieu-niem-yet-bo-sung.chn
26/05/2022 15:28,ACG: Chấp thuận niêm yết bổ sung 48.195.778 cổ phiếu,/du-lieu/acg-457826/acg-chap-thuan-niem-yet-bo-sung-48195778-co-phieu.chn
29/04/2022 11:14,ACG: Đã phát hành 48.195.778 cổ phiếu trả cổ tức và phát hành cổ phiếu cho cổ đông hiện hữu,/du-lieu/acg-474854/acg-da-phat-hanh-48195778-co-phieu-tra-co-tuc-va-phat-hanh-co-phieu-cho-co-dong-hien-huu.chn
26/04/2022 17:41,ACG: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 135.836.522 CP,/du-lieu/acg-477857/acg-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-135836522-cp.chn
17/11/2021 15:50,"Gỗ An Cường (ACG) sắp họp ĐHĐCĐ, trình phương án phát hành hơn 48 triệu cổ phiếu tăng vốn điều lệ lên gần 1.360 tỷ đồng",/du-lieu/acg-1362118/go-an-cuong-acg-sap-hop-dhdcd-trinh-phuong-an-phat-hanh-hon-48-trieu-co-phieu-tang-von-dieu-le-len-gan-1360-ty-dong.chn
04/11/2021 18:19,ACG: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 87.640.744 CP,/du-lieu/acg-1421995/acg-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-87640744-cp.chn
03/11/2021 17:45,ACG: Đã bán 285.000 cổ phiếu quỹ,/du-lieu/acg-1432144/acg-da-ban-285000-co-phieu-quy.chn
06/10/2021 12:31,ACG: Công bố thông tin đăng ký bán 285.000 bán cổ phiếu quỹ,/du-lieu/acg-1525402/acg-cong-bo-thong-tin-dang-ky-ban-285000-ban-co-phieu-quy.chn
28/07/2021 10:24,"ACG: Ngày 04/08/2021, giao dịch 87.650.344 cổ phiếu đăng ký giao dịch",/du-lieu/acg-1556770/acg-ngay-04082021-giao-dich-87650344-co-phieu-dang-ky-giao-dich.chn
