Time,Event,Link
12/04/2023 14:23,"ACL: Nghị quyết, biên bản họp và tài liệu ĐHĐCĐ thường niên năm 2023",/du-lieu/acl-269174/acl-nghi-quyet-bien-ban-hop-va-tai-lieu-dhdcd-thuong-nien-nam-2023.chn
15/04/2022 15:58,ACL: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2022,/du-lieu/acl-488372/acl-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2022.chn
23/09/2020 10:31,"ACL: 30.9.2020, giao dịch 27.359.344 cp niêm yết bổ sung",/du-lieu/acl-1536925/acl-3092020-giao-dich-27359344-cp-niem-yet-bo-sung.chn
16/09/2020 17:51,"ACL: 18.9.2020, niêm yết bổ sung 27.359.344 cp",/du-lieu/acl-1388725/acl-1892020-niem-yet-bo-sung-27359344-cp.chn
13/08/2020 16:51,ACL: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 50.159.019 cp,/du-lieu/acl-1308118/acl-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-50159019-cp.chn
23/07/2020 17:06,"ACL: 5.8.2020, ngày GDKHQ trả cổ tức năm 2019 (tỷ lệ 1:1.2)",/du-lieu/acl-1305541/acl-582020-ngay-gdkhq-tra-co-tuc-nam-2019-ty-le-112.chn
17/08/2017 17:09,"ACL: 24.8.2017, giao dịch  4.400.000 cp niêm yết bổ sung",/du-lieu/acl-1188100/acl-2482017-giao-dich-4400000-cp-niem-yet-bo-sung.chn
10/08/2017 13:30,"ACL: 11.8.2017, niêm yết bổ sung 4.400.000 cp",/du-lieu/acl-1187149/acl-1182017-niem-yet-bo-sung-4400000-cp.chn
12/09/2016 17:21,ACL: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 22.799.675 cp,/du-lieu/acl-810967/acl-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-22799675-cp.chn
13/07/2016 00:00,ACL: Đã phát hành riêng lẻ 4.400.000 cp,/du-lieu/acl-798706/acl-da-phat-hanh-rieng-le-4400000-cp.chn
14/12/2011 16:16,ACL: 20/12 - giao dịch 7.399.675 cổ phiếu phát hành thêm,/du-lieu/acl-562985/acl-2012-giao-dich-7399675-co-phieu-phat-hanh-them.chn
20/09/2011 17:42,ACL: Nghị quyết HĐQT trả cổ tức năm 2011 (2.500 đ/cp) & phát hành 250.000 cp ESOP,/du-lieu/acl-668758/acl-nghi-quyet-hdqt-tra-co-tuc-nam-2011-2500-dcp--phat-hanh-250000-cp-esop.chn
19/09/2011 17:02,"ACL: Nghị quyết Hội đồng Quản trị phát hành 7,15 triệu cổ phiếu thưởng",/du-lieu/acl-687300/acl-nghi-quyet-hoi-dong-quan-tri-phat-hanh-715-trieu-co-phieu-thuong.chn
28/07/2010 18:54,ACL: 04/08 - Giao dịch 2 triệu cổ phiếu phát hành thêm,/du-lieu/acl-688242/acl-0408-giao-dich-2-trieu-co-phieu-phat-hanh-them.chn
23/07/2010 18:11,ACL: Niêm yết bổ sung 2 triệu cổ phiếu,/du-lieu/acl-697794/acl-niem-yet-bo-sung-2-trieu-co-phieu.chn
12/04/2010 17:25,"ACL: Đặt mục tiêu LNST năm 2010 đạt 70.4 tỷ đồng, tăng 40% so với thực hiện năm 2009",/du-lieu/acl-748304/acl-dat-muc-tieu-lnst-nam-2010-dat-704-ty-dong-tang-40-so-voi-thuc-hien-nam-2009.chn
01/04/2010 15:28,ACL: Phát hành cổ phiếu tỷ lệ 9:2,/du-lieu/acl-750186/acl-phat-hanh-co-phieu-ty-le-92.chn
26/03/2010 23:25,ACL: Phát hành cổ phiếu tăng vốn điều lệ 110 tỷ đồng,/du-lieu/acl-746286/acl-phat-hanh-co-phieu-tang-von-dieu-le-110-ty-dong.chn
06/10/2009 10:05,"ACL: Trả cổ tức năm 2009: 1.500 đồng/CP, lấy ý kiến cổ đông chào bán CP tỷ lệ 9:2, ngày GDKHQ 13/10/2009",/du-lieu/acl-740460/acl-tra-co-tuc-nam-2009-1500-dongcp-lay-y-kien-co-dong-chao-ban-cp-ty-le-92-ngay-gdkhq-13102009.chn
