Time,Event,Link
17/04/2023 09:36,"ADG: Nghị quyết, biên bản và tài liệu họp ĐHĐCĐ thường niên 2023",/du-lieu/adg-263057/adg-nghi-quyet-bien-ban-va-tai-lieu-hop-dhdcd-thuong-nien-2023.chn
28/12/2022 13:31,"ADG: 9.1.2023, giao dịch 1.491.423 cp niêm yết bổ sung",/du-lieu/adg-346109/adg-912023-giao-dich-1491423-cp-niem-yet-bo-sung.chn
27/12/2022 11:07,"ADG: 28.12.2022, niêm yết bổ sung 1.491.423 cp",/du-lieu/adg-346748/adg-28122022-niem-yet-bo-sung-1491423-cp.chn
24/11/2022 16:31,ADG: Số lượng cổ phiếu có quyền biểu quyết là 21.380.521 cp,/du-lieu/adg-360731/adg-so-luong-co-phieu-co-quyen-bieu-quyet-la-21380521-cp.chn
24/11/2022 16:19,ADG: Báo cáo kết quả phát hành cổ phiếu để trả cổ tức năm 2021,/du-lieu/adg-360734/adg-bao-cao-ket-qua-phat-hanh-co-phieu-de-tra-co-tuc-nam-2021.chn
09/11/2022 17:36,"ADG: 17.11.2022, ngày GDKHQ phát hành cổ phiếu để trả cổ tức năm 2021 (tỷ lệ 1.000:75)",/du-lieu/adg-367145/adg-17112022-ngay-gdkhq-phat-hanh-co-phieu-de-tra-co-tuc-nam-2021-ty-le-100075.chn
03/11/2022 16:51,ADG: Thông báo phát hành cổ phiếu để trả cổ tức và ngày ĐKCC để thực hiện quyền trả cổ tức bằng cp,/du-lieu/adg-369620/adg-thong-bao-phat-hanh-co-phieu-de-tra-co-tuc-va-ngay-dkcc-de-thuc-hien-quyen-tra-co-tuc-bang-cp.chn
27/06/2022 10:02,ADG: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2022,/du-lieu/adg-442115/adg-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2022.chn
24/09/2021 14:06,ADG: Giao dịch 1.888.765 cp niêm yết bổ sung,/du-lieu/adg-1291009/adg-giao-dich-1888765-cp-niem-yet-bo-sung.chn
23/09/2021 10:37,"ADG: 24.9.2021, niêm yết bổ sung 1.888.765 cp",/du-lieu/adg-1443979/adg-2492021-niem-yet-bo-sung-1888765-cp.chn
17/08/2021 15:33,ADG: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 19.889.098 cp,/du-lieu/adg-1553029/adg-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-19889098-cp.chn
17/08/2021 15:33,ADG: Đã phát phát hành 88.800 cổ phiếu trong đợt phát hành ESOP,/du-lieu/adg-1553800/adg-da-phat-phat-hanh-88800-co-phieu-trong-dot-phat-hanh-esop.chn
17/08/2021 15:33,ADG: Đã phát phát hành 1.799.965 cổ phiếu để trả cổ tức,/du-lieu/adg-1554904/adg-da-phat-phat-hanh-1799965-co-phieu-de-tra-co-tuc.chn
30/07/2021 04:03,"ADG: 6.8.2021, ngày GDKHQ trả cổ tức năm 2020 bằng tiền mặt (500 đ/cp) và bằng cổ phiếu (tỷ lệ 100:10)",/du-lieu/adg-1546645/adg-682021-ngay-gdkhq-tra-co-tuc-nam-2020-bang-tien-mat-500-dcp-va-bang-co-phieu-ty-le-10010.chn
