Time,Event,Link
18/07/2023 00:00,"ADP: 27.7.2023, ngày giao dịch đầu tiên của cp",/du-lieu/adp-764791/adp-2772023-ngay-giao-dich-dau-tien-cua-cp.chn
10/07/2023 00:00,"ADP: Ngày 14/07/2023, hủy ĐKGD cổ phiếu",/du-lieu/adp-546698/adp-ngay-14072023-huy-dkgd-co-phieu.chn
29/06/2023 00:00,ADP: Quyết định chấp thuận niêm yết cổ phiếu,/du-lieu/adp-532095/adp-quyet-dinh-chap-thuan-niem-yet-co-phieu.chn
30/07/2021 10:35,"ADP: Ngày 03/08/2021, giao dịch 7.679.936 cổ phiếu niêm yết bổ sung",/du-lieu/adp-1577041/adp-ngay-03082021-giao-dich-7679936-co-phieu-niem-yet-bo-sung.chn
25/07/2021 22:01,ADP: Chấp thuận niêm yết bổ sung 7.679.936 cổ phiếu,/du-lieu/adp-1565320/adp-chap-thuan-niem-yet-bo-sung-7679936-co-phieu.chn
24/06/2021 10:49,ADP: Đính chính Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 23.039.850 CP,/du-lieu/adp-1413697/adp-dinh-chinh-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-23039850-cp.chn
24/06/2021 10:23,ADP: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 23.039.850 CP,/du-lieu/adp-1348237/adp-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-23039850-cp.chn
25/06/2018 06:43,Điểm danh những doanh nghiệp chốt quyền trả cổ tức/cổ phiếu thưởng tuần này,/du-lieu/adp-1203658/diem-danh-nhung-doanh-nghiep-chot-quyen-tra-co-tucco-phieu-thuong-tuan-nay.chn
11/11/2016 00:00,"ADP: Ngày 17/11/2016, ngày giao dịch đầu tiên của 5.759.940 cổ phiếu ĐKGD bổ sung",/du-lieu/adp-824875/adp-ngay-17112016-ngay-giao-dich-dau-tien-cua-5759940-co-phieu-dkgd-bo-sung.chn
08/11/2016 00:00,ADP: Thông báo chấp thuận đăng ký giao dịch bổ sung 5.759.940 cổ phiếu,/du-lieu/adp-886549/adp-thong-bao-chap-thuan-dang-ky-giao-dich-bo-sung-5759940-co-phieu.chn
28/10/2016 13:50,ADP: Thay đổi chứng khoán lưu hành 15.359.914 cp,/du-lieu/adp-898411/adp-thay-doi-chung-khoan-luu-hanh-15359914-cp.chn
06/10/2016 10:30,ADP: Báo cáo kết quả phát hành cổ phiếu,/du-lieu/adp-863398/adp-bao-cao-ket-qua-phat-hanh-co-phieu.chn
13/09/2016 00:00,"ADP: 23/09/2016, ngày GDKHQ trả cổ tức bằng tiền mặt đợt 2/2016 (Tỷ lệ 5%), trả cổ phiếu thưởng (Tỷ lệ 10:6)",/du-lieu/adp-807892/adp-23092016-ngay-gdkhq-tra-co-tuc-bang-tien-mat-dot-22016-ty-le-5-tra-co-phieu-thuong-ty-le-106.chn
20/08/2015 00:00,ADP: Chấp thuận đăng ký giao dịch bổ sung 3.199.975 cổ phiếu,/du-lieu/adp-850792/adp-chap-thuan-dang-ky-giao-dich-bo-sung-3199975-co-phieu.chn
18/08/2015 16:30,ADP: Công bố thông tin thay đổi chứng khoán lưu hành,/du-lieu/adp-902875/adp-cong-bo-thong-tin-thay-doi-chung-khoan-luu-hanh.chn
26/06/2015 00:00,"ADP: 6/7, Ngày GDKHQ trả cổ tức bằng tiền (10%), thưởng CP (2:1)",/du-lieu/adp-882730/adp-67-ngay-gdkhq-tra-co-tuc-bang-tien-10-thuong-cp-21.chn
23/06/2015 15:15,Sơn Á Đông lên phương án trả cổ tức bằng tiền 10% và cổ phiếu thưởng 2:1,/du-lieu/adp-817951/son-a-dong-len-phuong-an-tra-co-tuc-bang-tien-10-va-co-phieu-thuong-21.chn
23/06/2015 10:21,ADP:  Dự kiến phát hành CP thưởng để tăng vốn cổ phần từ nguồn VCSH,/du-lieu/adp-908863/adp-du-kien-phat-hanh-cp-thuong-de-tang-von-co-phan-tu-nguon-vcsh.chn
16/11/2010 16:56,"ADP: Ngày 22/11/2010, chính thức giao dịch 1.399.999 cổ phiếu ĐKGD bổ sung",/du-lieu/adp-680506/adp-ngay-22112010-chinh-thuc-giao-dich-1399999-co-phieu-dkgd-bo-sung.chn
15/11/2010 10:51,ADP: Chấp thuận ĐKGD bổ sung,/du-lieu/adp-686384/adp-chap-thuan-dkgd-bo-sung.chn
15/09/2010 00:37,ADP: 22/9 GDKHQ nhận cổ tức 3% và cổ phiếu thưởng tỷ lệ 28%,/du-lieu/adp-600791/adp-229-gdkhq-nhan-co-tuc-3-va-co-phieu-thuong-ty-le-28.chn
