Time,Event,Link
21/06/2024 00:00,"ADS: 25.6.2024, niêm yết bổ sung 3.000.000 cp",/du-lieu/ads-2012312/ads-2562024-niem-yet-bo-sung-3000000-cp.chn
21/05/2024 00:00,ADS: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 76.394.727 cp,/du-lieu/ads-1995804/ads-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-76394727-cp.chn
08/03/2024 00:00,"ADS: 16.1.2025, giao dịch 15.000.000 cp niêm yết bổ sung",/du-lieu/ads-1956328/ads-1612025-giao-dich-15000000-cp-niem-yet-bo-sung.chn
05/03/2024 00:00,"ADS: 6.3.2024, niêm yết bổ sung 15.000.000 cp",/du-lieu/ads-1954788/ads-632024-niem-yet-bo-sung-15000000-cp.chn
16/01/2024 00:00,ADS: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 73.394.727 cp,/du-lieu/ads-1931120/ads-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-73394727-cp.chn
09/01/2024 00:00,ADS: Nghị quyết HĐQT về việc xử lý cổ phiếu dư trong đợt chào bán cổ phiếu riêng lẻ,/du-lieu/ads-1927615/ads-nghi-quyet-hdqt-ve-viec-xu-ly-co-phieu-du-trong-dot-chao-ban-co-phieu-rieng-le.chn
21/08/2023 00:00,"ADS: 30.8.2023, giao dịch 7.615.693 cp niêm yết bổ sung",/du-lieu/ads-1772968/ads-3082023-giao-dich-7615693-cp-niem-yet-bo-sung.chn
15/08/2023 00:00,"ADS: 16.8.2023, niêm yết bổ sung 7.615.693 cp",/du-lieu/ads-1764841/ads-1682023-niem-yet-bo-sung-7615693-cp.chn
26/07/2023 00:00,ADS: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 58.394.727 cp,/du-lieu/ads-774889/ads-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-58394727-cp.chn
11/07/2023 00:00,"ADS: 14.7.2023, ngày GDKHQ trả cổ tức năm 2022 (tỷ lệ 100:15)",/du-lieu/ads-774894/ads-1472023-ngay-gdkhq-tra-co-tuc-nam-2022-ty-le-10015.chn
