Time,Event,Link
19/02/2025 00:00,AGG: Nghị quyết HĐQT thông qua việc dừng triển khai phương án chào bán cổ phiếu cho cổ đông hiện hữu,/du-lieu/agg-2133726/agg-nghi-quyet-hdqt-thong-qua-viec-dung-trien-khai-phuong-an-chao-ban-co-phieu-cho-co-dong-hien-huu.chn
19/12/2024 00:00,AGG: Công ty Cổ phần Quản lý và Đầu tư Trường Giang - CĐL đã bán 1.527.000 cp,/du-lieu/agg-2101993/agg-cong-ty-co-phan-quan-ly-va-dau-tu-truong-giang-cdl-da-ban-1527000-cp.chn
13/11/2024 00:00,"AGG: 20.10.2025, giao dịch 6.130.800 cp niêm yết bổ sung ",/du-lieu/agg-2084139/agg-20102025-giao-dich-6130800-cp-niem-yet-bo-sung.chn
12/11/2024 00:00,"AGG: 13.11.2024, niêm yết bổ sung 6.130.800 cp",/du-lieu/agg-2082899/agg-13112024-niem-yet-bo-sung-6130800-cp.chn
22/10/2024 00:00,AGG: Nghị quyết HĐQT thông qua báo cáo kết quả phát hành cổ phiếu ESOP,/du-lieu/agg-2073106/agg-nghi-quyet-hdqt-thong-qua-bao-cao-ket-qua-phat-hanh-co-phieu-esop.chn
22/10/2024 00:00,AGG: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 162.528.081 cp,/du-lieu/agg-2073115/agg-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-162528081-cp.chn
09/10/2024 00:00,AGG: Thông báo phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,/du-lieu/agg-2066769/agg-thong-bao-phat-hanh-co-phieu-theo-chuong-trinh-lua-chon-cho-nguoi-lao-dong.chn
25/09/2024 00:00,AGG: Nghị quyết HĐQT về việc cập nhật phương án triển khai phát hành ESOP,/du-lieu/agg-2059483/agg-nghi-quyet-hdqt-ve-viec-cap-nhat-phuong-an-trien-khai-phat-hanh-esop.chn
30/08/2024 00:00,"AGG: 12.9.2024, giao dịch 31.278.913 cp niêm yết bổ sung",/du-lieu/agg-2048294/agg-1292024-giao-dich-31278913-cp-niem-yet-bo-sung.chn
30/08/2024 00:00,"AGG: 4.9.2024, niêm yết bổ sung 31.278.913 cp",/du-lieu/agg-2048803/agg-492024-niem-yet-bo-sung-31278913-cp.chn
