Time,Event,Link
04/05/2023 10:13,AGR: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2023,/du-lieu/agr-241226/agr-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2023.chn
10/03/2023 17:19,"AGR: 4.4.2023, giao dịch 3.391.309 cp niêm yết bổ sung",/du-lieu/agr-308447/agr-442023-giao-dich-3391309-cp-niem-yet-bo-sung.chn
07/03/2023 13:37,"AGR: 8.3.2023, niêm yết bổ sung 3.391.309 cp",/du-lieu/agr-311639/agr-832023-niem-yet-bo-sung-3391309-cp.chn
12/01/2023 17:51,AGR: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 215.391.262 cp,/du-lieu/agr-339113/agr-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-215391262-cp.chn
12/01/2023 17:49,AGR: Đã phát hành 3.391.309 cp để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,/du-lieu/agr-339122/agr-da-phat-hanh-3391309-cp-de-tang-von-co-phan-tu-nguon-von-chu-so-huu.chn
20/12/2022 10:56,"AGR: 28.12.2022, ngày GDKHQ thưởng cp (tỷ lệ 100.000 : 1.602)",/du-lieu/agr-349889/agr-28122022-ngay-gdkhq-thuong-cp-ty-le-100000--1602.chn
15/12/2022 09:50,AGR: Phát hành cổ phiếu để tăng vốn cổ phần từ NVCSH,/du-lieu/agr-351842/agr-phat-hanh-co-phieu-de-tang-von-co-phan-tu-nvcsh.chn
29/06/2022 17:04,AGR: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2022,/du-lieu/agr-439559/agr-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2022.chn
18/08/2021 18:06,AGR: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 211.999.953,/du-lieu/agr-1554709/agr-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-211999953.chn
18/08/2021 11:21,AGR: Đã bán 800.000 cổ phiếu quỹ,/du-lieu/agr-1531507/agr-da-ban-800000-co-phieu-quy.chn
14/07/2021 13:45,AGR: Đăng ký bán 800.000 cp quỹ,/du-lieu/agr-1578406/agr-dang-ky-ban-800000-cp-quy.chn
01/07/2021 15:29,"Chứng khoán Agribank (AGR) ước lãi 6 tháng đầu năm 160 tỷ đồng, quyết tâm xóa lỗ lũy kế trong năm 2021",/du-lieu/agr-1313953/chung-khoan-agribank-agr-uoc-lai-6-thang-dau-nam-160-ty-dong-quyet-tam-xoa-lo-luy-ke-trong-nam-2021.chn
21/08/2017 08:58,AGR: Quyết định chuyển cổ phiếu từ diện kiểm soát sang diện cảnh báo,/du-lieu/agr-1081327/agr-quyet-dinh-chuyen-co-phieu-tu-dien-kiem-soat-sang-dien-canh-bao.chn
07/07/2017 10:38,AGR: Đã bán 10.000 cp quỹ,/du-lieu/agr-1103047/agr-da-ban-10000-cp-quy.chn
30/03/2017 00:00,AGR: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 211.189.953 cp,/du-lieu/agr-1144336/agr-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-211189953-cp.chn
04/01/2012 14:52,BHT: AGR được lợi lớn từ chuyển đổi trái phiếu?,/du-lieu/agr-755292/bht-agr-duoc-loi-lon-tu-chuyen-doi-trai-phieu.chn
11/01/2011 17:43,AGF: đã mua 80.000 cổ phiếu quỹ,/du-lieu/agr-740860/agf-da-mua-80000-co-phieu-quy.chn
29/10/2010 15:41,AGR: Đăng ký mua lại 3 triệu CP quỹ,/du-lieu/agr-658262/agr-dang-ky-mua-lai-3-trieu-cp-quy.chn
