Time,Event,Link
07/01/2025 00:00,"ANV: 24.1.2025, giao dịch 133.127.875 cp niêm yết bổ sung",/du-lieu/anv-2111418/anv-2412025-giao-dich-133127875-cp-niem-yet-bo-sung.chn
31/12/2024 00:00,"ANV: 3.1.2025, niêm yết bổ sung 133.127.875 cp",/du-lieu/anv-2108767/anv-312025-niem-yet-bo-sung-133127875-cp.chn
13/11/2024 00:00,ANV: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 266.255.750 cp,/du-lieu/anv-2083724/anv-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-266255750-cp.chn
03/10/2024 00:00,ANV: Thông báo phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,/du-lieu/anv-2063366/anv-thong-bao-phat-hanh-co-phieu-de-tang-von-co-phan-tu-nguon-von-chu-so-huu.chn
02/10/2024 00:00,ANV: Nghị quyết HĐQT về việc chốt danh sách cổ đông để thực hiện quyền nhận cổ phiếu phát hành do thực hiện tăng vốn cổ phần từ nguồn vốn chủ sở hữu,/du-lieu/anv-2062508/anv-nghi-quyet-hdqt-ve-viec-chot-danh-sach-co-dong-de-thuc-hien-quyen-nhan-co-phieu-phat-hanh-do-thuc-hien-tang-von-co-phan-tu-nguon-von-chu-so-huu.chn
27/09/2024 00:00,ANV: Thông báo nhận được công văn của UBCKNN về tài liệu báo cáo phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,/du-lieu/anv-2060341/anv-thong-bao-nhan-duoc-cong-van-cua-ubcknn-ve-tai-lieu-bao-cao-phat-hanh-co-phieu-de-tang-von-co-phan-tu-nguon-von-chu-so-huu.chn
21/12/2023 00:00,ANV: Nghị quyết HĐQT thông qua triển khai phương án phát hành cổ phiếu để tăng vốn cổ phần,/du-lieu/anv-1917927/anv-nghi-quyet-hdqt-thong-qua-trien-khai-phuong-an-phat-hanh-co-phieu-de-tang-von-co-phan.chn
26/06/2023 00:00,ANV: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2023,/du-lieu/anv-538823/anv-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2023.chn
14/04/2023 18:10,"ANV: 4.3.2024, giao dịch 6.000.000 cp niêm yết bổ sung",/du-lieu/anv-264671/anv-432024-giao-dich-6000000-cp-niem-yet-bo-sung.chn
13/04/2023 10:26,"ANV: 14.4.2023, niêm yết bổ sung 6.000.000 cp",/du-lieu/anv-267494/anv-1442023-niem-yet-bo-sung-6000000-cp.chn
06/03/2023 17:14,ANV: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 133.127.875 cp,/du-lieu/anv-312068/anv-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-133127875-cp.chn
06/03/2023 17:10,ANV: Đã phát hành 6.000.000 cp ESOP kèm nghị quyết xác nhận ngân hàng,/du-lieu/anv-312080/anv-da-phat-hanh-6000000-cp-esop-kem-nghi-quyet-xac-nhan-ngan-hang.chn
13/06/2022 17:15,ANV: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2022,/du-lieu/anv-448853/anv-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2022.chn
02/07/2021 17:00,ANV: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2021,/du-lieu/anv-1313353/anv-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2021.chn
23/07/2019 11:05,ANV: Đã mua lại 17.000 cp làm cp quỹ,/du-lieu/anv-1699039/anv-da-mua-lai-17000-cp-lam-cp-quy.chn
23/07/2019 11:04,ANV: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 127.127.875 cp,/du-lieu/anv-1703308/anv-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-127127875-cp.chn
09/07/2019 17:45,ANV: Đăng ký mua lại 17.000 cp làm cp quỹ,/du-lieu/anv-1699627/anv-dang-ky-mua-lai-17000-cp-lam-cp-quy.chn
27/02/2019 15:59,"ANV: 1.7.2019, giao dịch 2.495.000 cp niêm yết bổ sung",/du-lieu/anv-1456798/anv-172019-giao-dich-2495000-cp-niem-yet-bo-sung.chn
22/02/2019 17:38,"ANV: 25.2.2019, niêm yết bổ sung 2.495.000 cp",/du-lieu/anv-1390870/anv-2522019-niem-yet-bo-sung-2495000-cp.chn
16/01/2019 15:44,ANV: Đã phát hành 2.495.000 cp ESOP,/du-lieu/anv-1718062/anv-da-phat-hanh-2495000-cp-esop.chn
16/01/2019 13:45,ANV: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 127.144.875 cp,/du-lieu/anv-1267570/anv-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-127144875-cp.chn
11/12/2018 15:41,ANV: Phát hành cp ESOP,/du-lieu/anv-1060918/anv-phat-hanh-cp-esop.chn
