Time,Event,Link
07/06/2024 00:00,"APG: 7.5.2025, giao dịch 70.000.000 cp niêm yết bổ sung",/du-lieu/apg-2004414/apg-752025-giao-dich-70000000-cp-niem-yet-bo-sung.chn
04/06/2024 00:00,"APG: 5.6.2024, niêm yết bổ sung 70.000.000 cp",/du-lieu/apg-2002529/apg-562024-niem-yet-bo-sung-70000000-cp.chn
06/05/2024 00:00,APG: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 223.621.942 cp,/du-lieu/apg-1988717/apg-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-223621942-cp.chn
30/10/2023 00:00,APG: Nghị quyết HĐQT triển khai phương án chào bán cp riêng lẻ,/du-lieu/apg-1869820/apg-nghi-quyet-hdqt-trien-khai-phuong-an-chao-ban-cp-rieng-le.chn
19/09/2023 00:00,"APG: 23.8.2024, giao dịch 7.315.330 cp niêm yết bổ sung",/du-lieu/apg-1808789/apg-2382024-giao-dich-7315330-cp-niem-yet-bo-sung.chn
14/09/2023 00:00,"APG: 15.9.2023, niêm yết bổ sung 7.315.330 cp",/du-lieu/apg-1802801/apg-1592023-niem-yet-bo-sung-7315330-cp.chn
22/08/2023 00:00,APG: Số lượng cổ phiếu có quyền biểu quyết là 153.621.942 cp,/du-lieu/apg-1776515/apg-so-luong-co-phieu-co-quyen-bieu-quyet-la-153621942-cp.chn
22/08/2023 00:00,APG: Đã phát hành 7.315.330 CP ESOP,/du-lieu/apg-1776519/apg-da-phat-hanh-7315330-cp-esop.chn
17/04/2023 17:22,APG: Nghị quyết ĐHĐCĐ thường niên năm 2023,/du-lieu/apg-261911/apg-nghi-quyet-dhdcd-thuong-nien-nam-2023.chn
14/04/2023 16:29,"Ngay trước thềm Đại hội cổ đông, một công ty chứng khoán bất ngờ lên kế hoạch chào bán riêng lẻ và phát hành ESOP với giá cao hơn nhiều thị giá",/du-lieu/apg-265163/ngay-truoc-them-dai-hoi-co-dong-mot-cong-ty-chung-khoan-bat-ngo-len-ke-hoach-chao-ban-rieng-le-va-phat-hanh-esop-voi-gia-cao-hon-nhieu-thi-gia.chn
