Time,Event,Link
11/02/2025 00:00,"APH: 25.2.2025, ngày GDKHQ tổ chức ĐHĐCĐ thường niên năm 2025",/du-lieu/aph-2128234/aph-2522025-ngay-gdkhq-to-chuc-dhdcd-thuong-nien-nam-2025.chn
09/05/2023 11:04,APH: Biên bản họp và nghị quyết ĐHĐCĐ thường niên năm 2023,/du-lieu/aph-237386/aph-bien-ban-hop-va-nghi-quyet-dhdcd-thuong-nien-nam-2023.chn
16/03/2023 15:35,APH: Số lượng cổ phiếu có quyền biểu quyết là 243.884.268 cp,/du-lieu/aph-305267/aph-so-luong-co-phieu-co-quyen-bieu-quyet-la-243884268-cp.chn
16/03/2023 00:00,APH: Đã mua lại 7.314.880 cp ưu đãi,/du-lieu/aph-1892101/aph-da-mua-lai-7314880-cp-uu-dai.chn
29/11/2022 16:50,APH: Nghị quyết và Biên bản họp ĐHĐCĐ bất thường năm 2022,/du-lieu/aph-358793/aph-nghi-quyet-va-bien-ban-hop-dhdcd-bat-thuong-nam-2022.chn
15/06/2022 16:51,APH: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2022,/du-lieu/aph-447500/aph-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2022.chn
14/03/2022 14:38,"APH: 15.3.2022, niêm yết bổ sung 48.776.826 cp",/du-lieu/aph-1835852/aph-1532022-niem-yet-bo-sung-48776826-cp.chn
26/01/2022 11:02,"APH: 10.2.2022, ngày GDKHQ nhận cp phát hành do thực hiện tăng vốn cổ phần từ NVCSH (tỷ lệ 100:25)",/du-lieu/aph-507041/aph-1022022-ngay-gdkhq-nhan-cp-phat-hanh-do-thuc-hien-tang-von-co-phan-tu-nvcsh-ty-le-10025.chn
21/01/2022 17:13,APH: Ngày ĐKCC thực hiện quyền nhận cp phát hành,/du-lieu/aph-510254/aph-ngay-dkcc-thuc-hien-quyen-nhan-cp-phat-hanh.chn
11/01/2022 13:50,APH: Phát hành cổ phiếu để tăng vốn cổ phần từ NVCSH và ngày ĐKCC để thực hiện quyền,/du-lieu/aph-517241/aph-phat-hanh-co-phieu-de-tang-von-co-phan-tu-nvcsh-va-ngay-dkcc-de-thuc-hien-quyen.chn
11/01/2022 13:50,APH: Phát hành cổ phiếu để tăng vốn cổ phần từ NVCSH và ngày ĐKCC để thực hiện quyền,/du-lieu/aph-517244/aph-phat-hanh-co-phieu-de-tang-von-co-phan-tu-nvcsh-va-ngay-dkcc-de-thuc-hien-quyen.chn
27/12/2021 16:45,An Phát Holdings (APH) chuẩn bị thưởng cổ phiếu tỷ lệ 25% cho cổ đông,/du-lieu/aph-524828/an-phat-holdings-aph-chuan-bi-thuong-co-phieu-ty-le-25-cho-co-dong.chn
24/10/2021 13:44,An Phát Holdings (APH) lên phương án phát hành cổ phiếu thưởng tỷ lệ 25%,/du-lieu/aph-1508416/an-phat-holdings-aph-len-phuong-an-phat-hanh-co-phieu-thuong-ty-le-25.chn
