Time,Event,Link
29/04/2025 00:00,ASG: Nghị quyết HĐQT thông qua phương án phát hành trái phiếu và các nội dung liên quan đến việc triển khai phương án phát hành trái phiếu,/du-lieu/asg-2195769/asg-nghi-quyet-hdqt-thong-qua-phuong-an-phat-hanh-trai-phieu-va-cac-noi-dung-lien-quan-den-viec-trien-khai-phuong-an-phat-hanh-trai-phieu.chn
03/04/2024 00:00,ASG: Thông báo về việc niêm yết và giao dịch cổ phiếu thay đổi niêm yết,/du-lieu/asg-1970936/asg-thong-bao-ve-viec-niem-yet-va-giao-dich-co-phieu-thay-doi-niem-yet.chn
29/03/2024 00:00,"ASG: 2.4.2024, niêm yết bổ sung 15.130.778 cp",/du-lieu/asg-1969989/asg-242024-niem-yet-bo-sung-15130778-cp.chn
14/03/2024 00:00,ASG: Nghị quyết HĐQT thông qua kết quả chào bán thêm cổ phiếu ra công chúng cho CĐHH,/du-lieu/asg-1959911/asg-nghi-quyet-hdqt-thong-qua-ket-qua-chao-ban-them-co-phieu-ra-cong-chung-cho-cdhh.chn
13/03/2024 00:00,ASG: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 90.784.669 cp,/du-lieu/asg-1959195/asg-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-90784669-cp.chn
08/03/2024 00:00,ASG: Nghị quyết HĐQT thông qua kết quả thực hiện quyền mua cp và phương án xử lý cổ phiếu chưa phân phối hết,/du-lieu/asg-1956761/asg-nghi-quyet-hdqt-thong-qua-ket-qua-thuc-hien-quyen-mua-cp-va-phuong-an-xu-ly-co-phieu-chua-phan-phoi-het.chn
15/01/2024 00:00,ASG: Thông báo chào bán cổ phiếu ra công chúng,/du-lieu/asg-1930828/asg-thong-bao-chao-ban-co-phieu-ra-cong-chung.chn
22/12/2023 00:00,ASG: Nghị quyết HĐQT v/v không thực hiện một số nội dung trong phương án chào bán cổ phiếu cho cổ đông hiện hữu,/du-lieu/asg-1919228/asg-nghi-quyet-hdqt-vv-khong-thuc-hien-mot-so-noi-dung-trong-phuong-an-chao-ban-co-phieu-cho-co-dong-hien-huu.chn
21/06/2023 13:29,ASG: Biên bản họp và Nghị quyết ĐHĐCĐ thường niên năm 2023,/du-lieu/asg-211778/asg-bien-ban-hop-va-nghi-quyet-dhdcd-thuong-nien-nam-2023.chn
14/08/2022 10:38,Tập đoàn ASG chuẩn bị phát hành hơn 11 triệu cổ phiếu giá 15.000 đồng/cp,/du-lieu/asg-410462/tap-doan-asg-chuan-bi-phat-hanh-hon-11-trieu-co-phieu-gia-15000-dongcp.chn
24/06/2022 08:47,ASG: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2022,/du-lieu/asg-443240/asg-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2022.chn
16/09/2021 10:38,ASG: Thông báo về việc chuyển giao dịch cổ phiếu,/du-lieu/asg-1311517/asg-thong-bao-ve-viec-chuyen-giao-dich-co-phieu.chn
07/09/2021 13:58,ASG: Thông báo về ngày giao dịch đầu tiên của cổ phiếu ASG niêm yết bổ sung,/du-lieu/asg-1466458/asg-thong-bao-ve-ngay-giao-dich-dau-tien-cua-co-phieu-asg-niem-yet-bo-sung.chn
01/09/2021 09:44,"ASG: Ngày 08/09/2021, giao dịch đầu tiên 12.608.927 cổ phiếu niêm yết bổ sung",/du-lieu/asg-1509397/asg-ngay-08092021-giao-dich-dau-tien-12608927-co-phieu-niem-yet-bo-sung.chn
17/08/2021 16:15,ASG: Chấp thuận niêm yết bổ sung 12.608.927 cổ phiếu,/du-lieu/asg-1530442/asg-chap-thuan-niem-yet-bo-sung-12608927-co-phieu.chn
21/07/2021 11:50,ASG: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 75.653.891 cp,/du-lieu/asg-1588147/asg-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-75653891-cp.chn
27/04/2021 17:58,ASG: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2021,/du-lieu/asg-1341019/asg-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2021.chn
26/04/2021 16:34,"ASG: Ngày 07/05/2021, giao dịch đầu tiên 63.044.964 cổ phiếu chuyển giao dịch",/du-lieu/asg-1316347/asg-ngay-07052021-giao-dich-dau-tien-63044964-co-phieu-chuyen-giao-dich.chn
16/09/2020 17:32,"ASG: 24.9.2020, giao dịch cp lần đầu",/du-lieu/asg-1360132/asg-2492020-giao-dich-cp-lan-dau.chn
