Time,Event,Link
12/08/2024 00:00,"ASM: 22.8.2024, giao dịch 33.651.498 cp niêm yết bổ sung",/du-lieu/asm-2037939/asm-2282024-giao-dich-33651498-cp-niem-yet-bo-sung.chn
09/08/2024 00:00,"ASM: 12.8.2024, niêm yết bổ sung 33.651.498 cp",/du-lieu/asm-2036461/asm-1282024-niem-yet-bo-sung-33651498-cp.chn
19/07/2024 00:00,ASM: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 370.178.250 cp,/du-lieu/asm-2027264/asm-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-370178250-cp.chn
17/04/2023 10:18,ASM: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2023,/du-lieu/asm-262943/asm-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2023.chn
12/04/2022 09:48,ASM: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2022,/du-lieu/asm-491675/asm-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2022.chn
01/03/2022 13:38,"ASM: 2.3.2022, niêm yết bổ sung 77.658.903 cp",/du-lieu/asm-1835759/asm-232022-niem-yet-bo-sung-77658903-cp.chn
25/01/2022 10:45,ASM: Đã phát hành 77.658.903 cổ phiếu để trả cổ tức (đính chính),/du-lieu/asm-508364/asm-da-phat-hanh-77658903-co-phieu-de-tra-co-tuc-dinh-chinh.chn
20/01/2022 17:18,ASM: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 336.526.752 cp (đính chính),/du-lieu/asm-511676/asm-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-336526752-cp-dinh-chinh.chn
20/01/2022 09:21,ASM: Đã phát hành 77.660.354 cổ phiếu để trả cổ tức,/du-lieu/asm-512108/asm-da-phat-hanh-77660354-co-phieu-de-tra-co-tuc.chn
19/01/2022 17:53,ASM: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 336.528.203 cp,/du-lieu/asm-512417/asm-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-336528203-cp.chn
20/12/2021 17:16,"ASM: 14.1.2020, ngày GDKHQ chi trả cổ tức năm 2019 và năm 2020 (tỷ lệ 100:30)",/du-lieu/asm-1274509/asm-1412020-ngay-gdkhq-chi-tra-co-tuc-nam-2019-va-nam-2020-ty-le-10030.chn
14/12/2021 16:31,ASM: Phát hành cổ phiếu để trả cổ tức,/du-lieu/asm-1292359/asm-phat-hanh-co-phieu-de-tra-co-tuc.chn
21/07/2021 13:32,ASM: Nghị quyết HĐQT v/v chia cổ tức năm 2019 và năm 2020,/du-lieu/asm-1305865/asm-nghi-quyet-hdqt-vv-chia-co-tuc-nam-2019-va-nam-2020.chn
04/05/2021 10:03,ASM: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2021,/du-lieu/asm-1617622/asm-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2021.chn
31/12/2019 14:42,"ASM: 19.3.2019, ngày GDKHQ tổ chức ĐHĐCĐ thường niên năm 2019; trả cổ tức 2017,đợt 1/2018 (tỷ lệ 100:7)",/du-lieu/asm-1649560/asm-1932019-ngay-gdkhq-to-chuc-dhdcd-thuong-nien-nam-2019-tra-co-tuc-2017dot-12018-ty-le-1007.chn
